"search-number","evaluation","number*","%-similar-wanted*","number-of-ethnicities*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","1240","4","2","10.82258064516129","10","10.82258064516129","10.709677419354838"
"1","20","830","18","3","36.81927710843374","10","36.81927710843374","36.63855421686747"
"1","30","2090","76","3","47.77827728271199","10","47.77827728271199","44.6625947421136"
"1","40","1420","52","2","34.45059584007136","10","47.77827728271199","44.6625947421136"
"1","50","750","49","5","45.1571575058223","10","47.77827728271199","44.6625947421136"
"1","60","1770","30","3","46.02259887005649","10","47.77827728271199","44.6625947421136"
"1","70","570","47","5","42.16844864780428","10","47.77827728271199","44.6625947421136"
"1","80","2140","55","2","33.773386101444956","10","47.77827728271199","44.6625947421136"
"1","90","1300","22","4","46.5076923076923","10","47.77827728271199","44.6625947421136"
"1","100","1320","76","4","47.53159037828139","10","47.77827728271199","44.6625947421136"
"1","110","1140","97","2","43.926298615959496","10","47.77827728271199","44.6625947421136"
"1","120","1240","51","3","46.09925518728209","10","47.77827728271199","44.6625947421136"
"1","130","1340","49","3","37.85033416261838","10","47.77827728271199","44.6625947421136"
"1","140","1170","1","3","26.606837606837605","10","47.77827728271199","44.6625947421136"
"1","150","1680","0","3","0","10","47.77827728271199","44.6625947421136"
"1","160","890","41","4","42.67535421524936","10","47.77827728271199","44.6625947421136"
"1","170","2250","3","5","21.635555555555555","10","47.77827728271199","44.6625947421136"
"1","180","650","49","3","35.7687192532462","10","47.77827728271199","44.6625947421136"
"1","190","2250","71","4","47.132251589379415","10","47.77827728271199","44.6625947421136"
"1","200","700","91","3","45.6344397948833","10","47.77827728271199","44.6625947421136"
"1","210","790","23","2","22.77215189873418","10","47.77827728271199","44.6625947421136"
"1","220","690","34","4","43.350663889588176","10","47.77827728271199","44.6625947421136"
"1","230","1270","19","5","45.86185210228223","10","47.77827728271199","44.6625947421136"
"1","240","2150","97","5","46.36044451972047","10","47.77827728271199","44.6625947421136"
"1","250","1880","70","4","47.99164423208501","10","47.99164423208501","47.47730455919082"
"1","260","1180","63","5","47.32955128781309","10","47.99164423208501","47.47730455919082"
"1","270","540","53","3","45.423133418865085","10","47.99164423208501","47.47730455919082"
"1","280","540","26","4","33.45465443571372","10","47.99164423208501","47.47730455919082"
"1","290","1730","41","2","37.77456647398844","10","47.99164423208501","47.47730455919082"
"1","300","2290","63","2","44.21595475623734","10","47.99164423208501","47.47730455919082"
"1","310","2410","15","4","37.3609958506224","10","47.99164423208501","47.47730455919082"
"1","320","1340","97","2","44.29096835102748","10","47.99164423208501","47.47730455919082"
"1","330","1480","37","3","36.936330386331065","10","47.99164423208501","47.47730455919082"
"1","340","1960","4","5","26.37244897959183","10","47.99164423208501","47.47730455919082"
"1","350","1920","88","2","43.45948868103562","10","47.99164423208501","47.47730455919082"
"1","360","1490","18","2","8.859060402684566","10","47.99164423208501","47.47730455919082"
"1","370","1600","8","4","26.41875","10","47.99164423208501","47.47730455919082"
"1","380","1010","55","3","45.391706368467446","10","47.99164423208501","47.47730455919082"
"1","390","960","93","3","45.5236995819913","10","47.99164423208501","47.47730455919082"
"1","400","580","5","5","34.664013147885626","10","47.99164423208501","47.47730455919082"
"1","410","2400","11","4","12.183333333333332","10","47.99164423208501","47.47730455919082"
"1","420","900","0","3","0","10","47.99164423208501","47.47730455919082"
"1","430","630","75","4","46.560663345408095","10","47.99164423208501","47.47730455919082"
"1","440","1760","33","2","19.0625","10","47.99164423208501","47.47730455919082"
"1","450","2240","74","3","46.851756853206425","10","47.99164423208501","47.47730455919082"
"1","460","1840","49","4","44.469184563982694","10","47.99164423208501","47.47730455919082"
"1","470","930","45","2","38.11827956989247","10","47.99164423208501","47.47730455919082"
"1","480","1670","28","2","17.413173652694613","10","47.99164423208501","47.47730455919082"
"1","490","1010","90","2","44.29401918458727","10","47.99164423208501","47.47730455919082"
"1","500","2040","37","4","44.03127670279928","10","47.99164423208501","47.47730455919082"
