"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","1240","4","2","""-497943172""","11.370967741935484","11.370967741935484","11.370967741935484","0","11.370967741935484"
"1","2","500","1240","4","2","""-408238476""","11.85483870967742","11.85483870967742","11.85483870967742","0","11.85483870967742"
"1","3","500","1240","4","2","""-2079228171""","11.048387096774194","11.048387096774194","11.048387096774194","0","11.048387096774194"
"1","4","500","1240","4","2","""-1218009480""","10.967741935483872","10.967741935483872","10.967741935483872","0","10.967741935483872"
"1","5","500","1240","4","2","""-18920998""","10.241935483870968","10.241935483870968","10.241935483870968","0","10.241935483870968"
"1","6","500","1240","4","2","""2077231868""","10.64516129032258","10.64516129032258","10.64516129032258","0","10.64516129032258"
"1","7","500","1240","4","2","""-561300406""","10.403225806451614","10.403225806451614","10.403225806451614","0","10.403225806451614"
"1","8","500","1240","4","2","""-114089367""","10.967741935483872","10.967741935483872","10.967741935483872","0","10.967741935483872"
"1","9","500","1240","4","2","""27715363""","11.129032258064516","11.129032258064516","11.129032258064516","0","11.129032258064516"
"1","10","500","1240","4","2","""-495297053""","9.596774193548386","9.596774193548386","9.596774193548386","0","9.596774193548386"
"1","11","500","830","18","3","""-2120410542""","35.06024096385542","35.06024096385542","35.06024096385542","0","35.06024096385542"
"1","12","500","830","18","3","""-1362043891""","34.4578313253012","34.4578313253012","34.4578313253012","0","34.4578313253012"
"1","13","500","830","18","3","""1161928465""","39.51807228915663","39.51807228915663","39.51807228915663","0","39.51807228915663"
"1","14","500","830","18","3","""1661106956""","36.626506024096386","36.626506024096386","36.626506024096386","0","36.626506024096386"
"1","15","500","830","18","3","""-1933236998""","36.02409638554217","36.02409638554217","36.02409638554217","0","36.02409638554217"
"1","16","500","830","18","3","""380465894""","37.34939759036144","37.34939759036144","37.34939759036144","0","37.34939759036144"
"1","17","500","830","18","3","""1142054462""","36.74698795180723","36.74698795180723","36.74698795180723","0","36.74698795180723"
