"search-number","evaluation","number*","%-similar-wanted*","number-of-ethnicities*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","1240","4","2","10","11.338709677419356","10","10.749999999999998"
"1","20","830","18","3","10","36.56626506024096","10","35.91566265060241"
"1","30","2090","76","3","10","46.31476599490054","10","46.44525648007972"
"1","90","1300","22","4","10","47.4","10","43.241978550710606"
